XCoord;YCoord;NR;ADRESSE;TIEFE_M;GOK;AUFNDATUM;HERKUNFT;PHI;LAMBDA
1720079,795;5953620,636;3659;Garteng./Naglerg. - Süd;4,85;363,5;31.12.1899;Stadt Graz - Stadtvermessung;47,070694;15,451739
1716839,204;5953584,756;1181;Querg.7/9;1,1;356,5;31.12.1899;Stadt Graz - Stadtvermessung;47,070473;15,422629
1718882,843;5953608,451;1533;Stempferg. 4;1,2;350,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,070618;15,440988
1720371,978;5953625,414;3762;Schillerstr./Morellenfeldg.;4,05;362,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,070721;15,454365
1717023,242;5953588,38;1658;Idlhofg.9;0,92;353,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,070496;15,424282
1717453,603;5953594,871;1722;Elisabethinerg. 6;2,28;350,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,070534;15,428148
1718671,059;5953608,958;1527;Herreng.6;0,55;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,070621;15,439085
1726399,378;5953694,403;4089;Ragnitztalweg 114 - Nordost;3,8;416,899994;22.05.1989;Stadt Graz - Stadtvermessung;47,071144;15,50851
1718938,764;5953613,503;1535;Enge-G.3;1,5;350,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,070648;15,441489
1720817,71;5953634,852;4061;Nibelungeng. 33 (N1);2;363,5;31.12.1899;Stadt Graz - Stadtvermessung;47,070782;15,458368
1718607,831;5953614,112;1441;Rathaus/Lift (R/Lift);15,2;350,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,070652;15,438517
1720355,175;5953634,045;3763;Schillerstr. 34;1,3;362,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,070774;15,454213
1720412,04;5953634,688;3759;Morellenfeldg. 38/Schillerstr.;4,7;362;31.12.1899;Stadt Graz - Stadtvermessung;47,070778;15,454724
1716841,58;5953595,076;1180;Querg.8;3,1;356,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070538;15,42265
1719813,691;5953629,376;3648;Alberstr. 7;2,6;361;31.12.1899;Stadt Graz - Stadtvermessung;47,070747;15,449349
1716089,995;5953609,763;4645;Bahnhof (SW in Ri Eggenberg);4;361,399994;20.11.2004;Stadt Graz - Stadtvermessung;47,070625;15,415898
1717117,67;5953621,827;1656;Idlhofgasse 5-Ostseite;9,25;350,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,070702;15,425131
1723162,055;5953690,322;3164;Obere Teichstr. B (OT-B);0;411,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,071121;15,479428
1717632,156;5953629,292;1776;Dominikanerg.4/Annenstr.15/Hof(Do4);1,8;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,070747;15,429752
1715043,675;5953600,296;2203;Prangelg.5;1,1;364,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,070568;15,4065
1719028,666;5953646,878;1432;Bürgerg./Binderg.(Bi);2,5;352,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,070854;15,442297
1720571,209;5952967,58;3968;Krenng. 7-Nordwest (K7/II);15;361,5;31.12.1899;Stadt Graz - Stadtvermessung;47,066696;15,456154
1716904,895;5952926,915;1244;Idlhofg.52/Innen(2);2,6;351,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,066448;15,423219
1719980,38;5952962,365;3599;Brockmanng. 4;2,3;355,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,066666;15,450847
